Date,AAPL,ARKG,ARKK,ARKQ,ARKW,BLDP,BLNK,BYDDY,CLLS,CRSP,CRWD,CURLF,DOGEF,FCEL,FUBO,FVRR,GBTC,GTBIF,JMIA,LAZR,LMND,NET,NNDM,NTLA,OROCF,PLTR,PLUG,QS,RIOT,SAGE,SAIL,SNOW,SQ,TSLA,VLDR
2020-06-30,90.87906646728516,52.15999984741211,71.30999755859375,47.310001373291016,84.8499984741211,15.399999618530273,5.679999828338623,15.350000381469727,17.799999237060547,73.48999786376953,100.29000091552734,6.099999904632568,116.4800033569336,2.259999990463257,10.449999809265137,73.81999969482422,9.604999542236328,9.998000144958496,5.489999771118164,10.6899995803833,,35.95000076293945,2.200000047683716,21.020000457763672,1.5800000429153442,,8.210000038146973,,2.2200000286102295,41.58000183105469,26.469999313354492,,104.94000244140625,215.96200561523438,
2020-07-01,90.7071762084961,53.189998626708984,73.5,47.470001220703125,87.83999633789062,16.110000610351562,4.840000152587891,15.520000457763672,18.059999465942383,78.5,102.94999694824219,6.159999847412109,117.1500015258789,2.2799999713897705,10.649999618530273,75.19999694824219,9.760000228881836,10.1899995803833,5.179999828338623,10.600000381469727,,36.93000030517578,2.119999885559082,22.0,1.6699999570846558,,8.869999885559082,,2.3399999141693115,43.349998474121094,28.40999984741211,,115.9000015258789,223.92599487304688,
2020-07-02,90.7071762084961,54.060001373291016,74.94000244140625,48.54999923706055,88.94000244140625,17.360000610351562,5.28000020980835,15.460000038146973,18.649999618530273,79.69999694824219,107.2699966430664,5.916999816894531,118.0,2.5199999809265137,10.0,76.5,9.369999885559082,10.0,5.329999923706055,10.859999656677246,69.41000366210938,36.470001220703125,2.119999885559082,22.299999237060547,1.6200000047683716,,9.100000381469727,,2.2899999618530273,43.0099983215332,27.81999969482422,,113.38999938964844,241.73199462890625,
2020-07-06,93.13361358642578,55.099998474121094,77.75,50.209999084472656,92.29000091552734,19.93000030517578,8.399999618530273,18.75,19.049999237060547,84.11000061035156,106.38999938964844,5.849999904632568,120.44999694824219,2.869999885559082,9.168000221252441,78.3499984741211,9.9399995803833,10.029999732971191,5.610000133514404,10.800000190734863,81.19000244140625,38.34000015258789,2.1500000953674316,22.489999771118164,1.75,,9.979999542236328,,2.380000114440918,41.959999084472656,27.549999237060547,,118.97000122070312,274.3160095214844,
2020-07-07,92.84463500976562,56.150001525878906,78.83999633789062,49.52000045776367,92.7699966430664,19.540000915527344,7.09499979019165,18.350000381469727,16.31999969482422,91.41000366210938,106.41999816894531,5.78000020980835,120.44999694824219,2.8299999237060547,8.6899995803833,82.47000122070312,9.753999710083008,10.100000381469727,5.769999980926514,10.779999732971191,78.79000091552734,37.90999984741211,2.0299999713897705,24.030000686645508,1.7999999523162842,,9.34000015258789,,2.2899999618530273,41.959999084472656,28.059999465942383,,125.5999984741211,277.97198486328125,
2020-07-08,95.00699615478516,57.630001068115234,80.72000122070312,50.040000915527344,95.79000091552734,20.059999465942383,7.550000190734863,19.100000381469727,17.649999618530273,94.16999816894531,114.55000305175781,5.71999979019165,128.0679931640625,2.9600000381469727,10.510000228881836,82.54000091552734,10.329999923706055,10.317999839782715,7.880000114440918,10.75,68.51000213623047,38.400001525878906,1.940000057220459,24.93000030517578,1.8300000429153442,,9.5,,2.5399999618530273,44.400001525878906,28.6299991607666,,133.35000610351562,273.1759948730469,
2020-07-09,95.41555786132812,57.459999084472656,81.08000183105469,50.2599983215332,96.6500015258789,20.760000228881836,7.5,19.030000686645508,17.389999389648438,94.0199966430664,117.45999908447266,5.860000133514404,129.6999969482422,3.0399999618530273,10.699999809265137,85.45999908447266,9.869999885559082,10.295000076293945,8.039999961853027,10.899999618530273,77.01000213623047,39.72999954223633,1.8799999952316284,24.56999969482422,1.7799999713897705,,8.949999809265137,,2.359999895095825,44.150001525878906,28.6299991607666,,129.38999938964844,278.8559875488281,
2020-07-10,95.58246612548828,55.720001220703125,80.88999938964844,51.16999816894531,97.36000061035156,20.5,7.079999923706055,19.8799991607666,16.920000076293945,89.47000122070312,116.6500015258789,6.510000228881836,130.33599853515625,3.069999933242798,10.329999923706055,84.55999755859375,9.75,11.289999961853027,7.489999771118164,11.0,84.66000366210938,40.08000183105469,1.9299999475479126,23.809999465942383,1.7799999713897705,,9.300000190734863,,2.3299999237060547,42.91999816894531,28.719999313354492,,128.0500030517578,308.92999267578125,
2020-07-13,95.14152526855469,54.529998779296875,78.13999938964844,50.5099983215332,93.23999786376953,18.219999313354492,5.989999771118164,22.610000610351562,16.520000457763672,86.2300033569336,106.20999908447266,7.25,130.16000366210938,2.809999942779541,10.449999809265137,79.37000274658203,9.600000381469727,11.317000389099121,7.400000095367432,10.8100004196167,78.5,36.75,1.8300000429153442,21.450000762939453,1.8200000524520874,,8.3100004196167,,2.180000066757202,41.130001068115234,28.09000015258789,,118.6500015258789,299.4119873046875,
2020-07-14,96.7159652709961,55.779998779296875,78.81999969482422,50.880001068115234,93.5999984741211,19.3799991607666,5.880000114440918,20.739999771118164,16.549999237060547,90.91000366210938,105.61000061035156,7.179999828338623,131.5,2.880000114440918,10.050000190734863,82.62000274658203,9.734999656677246,11.539999961853027,7.599999904632568,10.859999656677246,76.13999938964844,36.75,1.7100000381469727,22.280000686645508,1.809999942779541,,8.649999618530273,,2.25,43.650001525878906,28.889999389648438,,121.23999786376953,303.3599853515625,
